"cluster","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","predicted_cell_type"
"0",0,3.28687137271508,0.281,0.032,0,"CD96","CD8+ T-cells"
"0",0,3.35016333042223,0.283,0.034,0,"GZMA","CD8+ T-cells"
"0",0,3.05939051025453,0.288,0.04,0,"ARHGAP15","CD8+ T-cells"
"0",0,2.32257219985851,0.376,0.13,0,"RGCC","CD8+ T-cells"
"0",0,0.38282182034187,0.396,0.634,0,"HSPA1A","CD8+ T-cells"
"0",0,2.34059869943348,0.339,0.103,0,"BIRC3","CD8+ T-cells"
"0",0,1.98149263400657,0.655,0.42,0,"TXNIP","CD8+ T-cells"
"0",0,2.03141289092387,0.746,0.511,0,"ZFP36L2","CD8+ T-cells"
"0",0,3.13713245984148,0.271,0.037,0,"NKG7","CD8+ T-cells"
"0",0,2.21730408237984,0.846,0.612,0,"BTG1","CD8+ T-cells"
"0",0,3.02896615609524,0.269,0.036,0,"GPR183","CD8+ T-cells"
"0",0,2.69870063211523,0.296,0.064,0,"CLEC2D","CD8+ T-cells"
"0",0,2.0843029235293,0.474,0.244,0,"AC090498-1","CD8+ T-cells"
"0",0,1.80952945842312,0.364,0.136,0,"SLC2A3","CD8+ T-cells"
"0",0,3.34161178994392,0.253,0.026,0,"IL10RA","CD8+ T-cells"
"0",0,1.9159741451084,0.413,0.187,0,"HLA-F","CD8+ T-cells"
"0",0,3.37481540193699,0.25,0.025,0,"SELPLG","CD8+ T-cells"
"0",0,2.84412009506149,0.272,0.048,0,"DOCK8","CD8+ T-cells"
"0",0,2.69098516287163,0.296,0.072,0,"FYN","CD8+ T-cells"
"0",0,2.16880194239068,0.459,0.237,0,"HLA-DRB1","CD8+ T-cells"
"0",0,0.234572150370255,0.327,0.549,0,"NPC2","CD8+ T-cells"
"0",0,3.59080788090125,0.244,0.022,0,"CD6","CD8+ T-cells"
"0",0,2.44941100106223,0.333,0.112,0,"SEPTIN6","CD8+ T-cells"
"0",0,3.34124344535699,0.251,0.031,0,"SELL","CD8+ T-cells"
"0",0,3.26335599729773,0.248,0.028,0,"BIN2","CD8+ T-cells"
"0",0,3.40203201561265,0.243,0.024,0,"DOK2","CD8+ T-cells"
"0",0,3.25507742160488,0.244,0.027,0,"CTSW","CD8+ T-cells"
"0",0,0.56028276604826,0.621,0.404,0,"MT-ATP8","CD8+ T-cells"
"0",0,1.85154226530659,0.434,0.218,0,"ISG20","CD8+ T-cells"
"0",0,2.53766817410494,0.287,0.071,0,"EMB","CD8+ T-cells"
"0",0,2.872611689001,0.269,0.055,0,"ADGRE5","CD8+ T-cells"
"0",0,2.61822632839166,0.303,0.089,0,"PIK3IP1","CD8+ T-cells"
"0",0,2.85550880879578,0.272,0.059,0,"SKAP1","CD8+ T-cells"
"0",0,2.85630382210172,0.267,0.055,0,"APOBEC3G","CD8+ T-cells"
"0",0,3.05799654999155,0.244,0.032,0,"PTPN7","CD8+ T-cells"
"0",0,3.36548293041918,0.236,0.024,0,"CXCR3","CD8+ T-cells"
"0",0,2.79468182919274,0.267,0.056,0,"TNFRSF1B","CD8+ T-cells"
"0",0,3.40617396393636,0.233,0.022,0,"ZAP70","CD8+ T-cells"
"0",0,3.43233474995253,0.233,0.022,0,"GZMM","CD8+ T-cells"
"0",0,2.99268784429008,0.255,0.045,0,"DEF6","CD8+ T-cells"
"0",0,3.0022423955681,0.252,0.042,0,"LPXN","CD8+ T-cells"
"0",0,2.59839925173811,0.281,0.072,0,"TNFAIP8","CD8+ T-cells"
"0",0,2.20870523752679,0.331,0.122,0,"PPP1R18","CD8+ T-cells"
"0",0,3.00945708907234,0.247,0.038,0,"RCSD1","CD8+ T-cells"
"0",0,3.12131261304685,0.243,0.034,0,"IL16","CD8+ T-cells"
"0",0,3.36757619569347,0.231,0.023,0,"ARHGAP9","CD8+ T-cells"
"0",0,1.60118296096748,0.909,0.704,0,"HLA-A","CD8+ T-cells"
"0",0,1.89497778401788,0.382,0.178,0,"UCP2","CD8+ T-cells"
"0",0,2.27243894599406,0.309,0.106,0,"CDC42SE2","CD8+ T-cells"
"0",0,0.59646088841743,0.425,0.628,0,"PSAP","CD8+ T-cells"
"0",0,3.49143644725836,0.223,0.021,0,"SIT1","CD8+ T-cells"
"0",0,3.65125372867254,0.218,0.017,0,"PTPRCAP","CD8+ T-cells"
"0",0,2.25915352236523,0.322,0.121,0,"ICAM3","CD8+ T-cells"
"0",0,1.46813426171616,0.327,0.127,0,"ITM2A","CD8+ T-cells"
"0",0,1.32138194302093,0.524,0.324,0,"EVL","CD8+ T-cells"
"0",0,3.55372698863534,0.224,0.025,0,"GZMK","CD8+ T-cells"
"0",0,2.63902501603818,0.268,0.07,0,"SEPTIN1","CD8+ T-cells"
"0",0,2.62707735262776,0.292,0.094,0,"CTSS","CD8+ T-cells"
"0",0,3.48459378925502,0.221,0.024,0,"CD8A","CD8+ T-cells"
"0",0,2.8251646529966,0.243,0.046,0,"RHOF","CD8+ T-cells"
"0",0,2.93978379476551,0.271,0.075,0,"HLA-DQA1","CD8+ T-cells"
"0",0,3.61068133174825,0.215,0.019,0,"SASH3","CD8+ T-cells"
